company,year,energy_consumption,female_employees,ghg_scope_1,ghg_scope_2,living_wage_policy,modern_slavery_statement,total_waste_generated,total_waste_recycled,water_withdrawals,total_employees,supplier_list,supplied_by,address
Asos,2017,,,1189,5204,,,,,,3164,,541,
Asos,2018,,2807,1885,6920,Living Wage Methodology described,,,,,4386,,,
"Asos,2019,Unknown,Unknown,3279,11979,Living Wage Methodology described,,Unknown,Unknown,Unknown,,,561,""Greater London House",nan,,,,,,,,,,,,,
Hampstead Road,nan,,,,,,,,,,,,,
London,nan,,,,,,,,,,,,,
NW1 7FB,nan,,,,,,,,,,,,,
"United Kingdom""",nan,,,,,,,,,,,,,
Asos,2020,,,3177,11497,,,,,,,,1012,
Asos,2021,,,3602,11338,,,,,,3126,,952,Greater London House Hampstead Road London England NW1 7FB
Asos,2022,,,3351,3150,,,,,,3351,,707,Greater London House Hampstead Road London England NW1 7FB
Asos,2023,194025.6,,2785,10770,Living Wage Methodology described,,,,,3042,,621,
Asset Value Investors Ltd.,2020,,,,,,No - neither,,,,,,,
"Atlanta Capital Management Company, L.L.C.,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
Atmos Capital Gestao de Recursos Ltda,2020,,,,,,No - neither,,,,,,,
Atom Investors LP,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Atreides Management LP,2020,,,,,,No - neither,,,,,,,
Aviva Investors,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Aviva Investors,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BB Gestao de Recursos DTVM SA,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
"BNP Paribas Asset Management,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
"BNP Paribas Asset Management United States of America, Inc.,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
BNY Mellon Administracao de Ativos Ltda.,2020,,,,,,Yes - Australian Modern Slavery Act,,,,,,,
BRAM - Bradesco Asset Management S.A. DTVM,2020,,,,,,No - neither,,,,,,,
BTG Pactual,2016,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BTG Pactual,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BTG Pactual,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BTG Pactual,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
BWM AG,2020,,,,,,No - neither,,,,,,,
Baillie Gifford & Co,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
"Baillie Gifford & Co,2019,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
"Baillie Gifford & Co,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
Baillie Gifford & Co,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Baillie Gifford & Co,2022,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Baillie Gifford & Co,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Baillie Gifford & Co,2024,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Balyasny Asset Management LP,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of America,2016,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of America,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of America,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of America,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of America,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of New York Mellon,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of New York Mellon,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of New York Mellon,2019,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bank of New York Mellon,2020,,,,,,Yes - Australian Modern Slavery Act,,,,,,,
"Bank of New York Mellon,2021,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
Bank of New York Mellon,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
"Bank of New York Mellon,2024,,,,,,""Yes - UK Modern Slavery Act, Yes - California Transparency in Supply Chains Act"",,,,,,,",nan,,,,,,,,,,,,,
Banque Havilland SA,2020,,,,,,No - neither,,,,,,,
Banque Lombard Odier & Cie SA (Investment Management),2020,,,,,,No - neither,,,,,,,
Barclays,2017,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Barclays,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
"Barclays,2020,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
"Barclays,2021,,,,,,""Yes - UK Modern Slavery Act, Yes - Australian Modern Slavery Act"",,,,,,,",nan,,,,,,,,,,,,,
Barclays,2023,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Barclays,2024,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Barclays,2025,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bares Capital Management Inc.,2020,,,,,,No - neither,,,,,,,
Bestseller AS,2016,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bestseller AS,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Bestseller AS,2021,,,,,,Yes - UK Modern Slavery Act,,,,,,,
"Bestseller AS,2024,,,,,,""Yes - UK Modern Slavery Act, Yes - Canadian Act"",,,,,,,",nan,,,,,,,,,,,,,
BlackRock,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
