Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
Alken Asset Management Ltd.,2021,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Allianz Global Investors Asia Pacific Ltd.,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Allianz Global Investors GmbH,2020,NA,NA,NA,NA,NA,Yes - UK Modern Slavery Act,NA,NA,NA,NA,NA,NA,NA
Alpargatas - Havaianas,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpargatas - Havaianas,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpargatas - Havaianas,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpargatas - Havaianas,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpargatas - Havaianas,2019,NA,NA,NA,NA,No Living Wage Policy,NA,NA,NA,NA,NA,NA,NA,NA
American Century Companies Inc,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
American Eagle Outfitters,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Eagle Outfitters,2015,NA,NA,NA,90000,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Eagle Outfitters,2016,NA,NA,NA,82000,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Eagle Outfitters,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Eagle Outfitters,2018,663032.7,31500,9953,70234,No Living Wage Policy,NA,NA,8,NA,45000,NA,NA,NA
American Eagle Outfitters,2019,837463.086,NA,9537,53027,No Living Wage Policy,NA,NA,NA,NA,NA,NA,NA,NA
American Eagle Outfitters,2021,543095.45,110272,9248,40231,Living Wage mentioned,NA,NA,NA,NA,NA,NA,NA,77 HOT METAL STREET PITTSBURGH 15203
